original_premise,counterfactual_premise,hypothesis
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults standing in the park looking at kayakers in the water.,The childs mom is watching her son with her friends.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults stands in the bathroom looking down.,The childs mom is watching her son with her friends.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults standing in the store looking at groceries.,The childs mom is watching her son with her friends.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults stands in the bathroom looking down a small bird in the bath.,People are in the house.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults stands in the bathroom looking down a small black dog in the bath.,People are in the house.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults standing in the park looking at kayakers in the water.,People are in the house.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults stands in the park looking at kayakers in the water.,The child is sleeping.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults standing in the park looking at kayakers in the water.,The child is sleeping.
A group of adults stands in the bathroom looking down a small child in the bath.,A group of adults stands in the bathroom looking at the water.,The child is sleeping.
A goofy looking woman is singing on stage.,A goofy man woman is singing on stage.,A woman is singing.
A goofy looking woman is singing on stage.,A goofy looking woman is singing at a stage.,A woman is singing.
A goofy looking woman is singing on stage.,A goofy looking woman is not singing on stage.,A woman is singing.
A goofy looking woman is singing on stage.,A goofy looking woman is singing happily on a stage.,A woman is reciting poetry on the stage.
A goofy looking woman is singing on stage.,A goofy looking woman is singing in a stage.,A woman is reciting poetry on the stage.
A goofy looking woman is singing on stage.,A goofy looking woman is singing on the stage.,A woman is reciting poetry on the stage.
A goofy looking woman is singing on stage.,A woman is singing on stage.,A blonde woman is singing and dancing on the stage.
A goofy looking woman is singing on stage.,A goofy looking old woman is singing on stage.,A blonde woman is singing and dancing on the stage.
A goofy looking woman is singing on stage.,A goofy looking woman is singing on the stage.,A blonde woman is singing and dancing on the stage.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a white jacket whilst walking in snow.,A woman is eating pasta in a restaurant.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a brown jacket whilst walking in the park.,A woman is eating pasta in a restaurant.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a red jacket whilst walking in snow.,A woman is eating pasta in a restaurant.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a brown jacket whilst walking in the sunshine.,The lady wearing a jacket is looking for her lost dog.
The girl wearing a brown jacket whilst walking in snow.,A girl wearing a brown jacket whilst walking.,The lady wearing a jacket is looking for her lost dog.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a brown jacket is not whilst walking in snow.,The lady wearing a jacket is looking for her lost dog.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a brown jacket whilst walking in the rain.,The girl is walking outside.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a brown jacket whilst walking in the park.,The girl is walking outside.
The girl wearing a brown jacket whilst walking in snow.,The girl wearing a brown jacket whilst walking in the sunshine.,The girl is walking outside.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child are forced to sit on the floor together.",A family on vacation is posing.
"A man, woman, and child get their picture taken in front of the mountains.","No one, woman, or child, get their picture taken in front of the mountains.",A family on vacation is posing.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child are getting their picture taken in front of the great outdoors.",A family on vacation is posing.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child get their picture taken in front the mountains.",People are outdoors.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child are on a boat.",People are outdoors.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child are getting their picture taken in front of thevale.",People are outdoors.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child are getting their picture taken.",A family is in their car.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child get their picture taken in front of the Christmas tree in the mountains.",A family is in their car.
"A man, woman, and child get their picture taken in front of the mountains.","A man, woman, and child are not making any type of vessel.",A family is in their car.
people are standing near water with a boat heading their direction,people are standing near water with a boat packed with people in the background,The people are standing.
people are standing near water with a boat heading their direction,people are standing near water with a boat not their attention,The people are standing.
people are standing near water with a boat heading their direction,people are standing near water while a boat heading their direction.,The people are standing.
people are standing near water with a boat heading their direction,No one is standing near water with a boat in the background.,People are standing near water with a large blue boat heading their direction.
people are standing near water with a boat heading their direction,people are standing near water with a boat heading away from them direction,People are standing near water with a large blue boat heading their direction.
people are standing near water with a boat heading their direction,People are standing near water with boats in the background.,People are standing near water with a large blue boat heading their direction.
people are standing near water with a boat heading their direction,No one is standing near water with a boat in the background.,People are waiting in line at the restaurant.
people are standing near water with a boat heading their direction,people are standing on the water with a boat heading their direction,People are waiting in line at the restaurant.
people are standing near water with a boat heading their direction,people are standing near water with a boat heading their direction of travel,People are waiting in line at the restaurant.
Four adults eat while sitting on a tile floor.,Three adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.
Four adults eat while sitting on a tile floor.,Two adults eat while sitting on a tile floor.,Two couples eat food on a kitchen floor.
Four adults eat while sitting on a tile floor.,Three children eat ice cream while sitting on a bench.,Two couples eat food on a kitchen floor.
Four adults eat while sitting on a tile floor.,Four adults eat nachos while sitting on a tile floor.,Two couples play pool in a bar.
Four adults eat while sitting on a tile floor.,Two adults eating while sitting on a bench.,Two couples play pool in a bar.
Four adults eat while sitting on a tile floor.,Four adults eat food sitting on a tile floor.,Two couples play pool in a bar.
Four adults eat while sitting on a tile floor.,Four adults eat food sitting on a tile floor.,A group of people eat food.
Four adults eat while sitting on a tile floor.,Two adults eat while sitting on a couch.,A group of people eat food.
Four adults eat while sitting on a tile floor.,Three adults eat while sitting on a couch.,A group of people eat food.
A dog standing near snow looking at water.,A dog standing near water looking at the lake.,A cat is laying on the couch.
A dog standing near snow looking at water.,A dog standing near snow looking at a lake.,A cat is laying on the couch.
A dog standing near snow looking at water.,A dog standing near snow looking at something.,A cat is laying on the couch.
A dog standing near snow looking at water.,A dog standing in shallow water on a red leash.,Animal is outdoors.
A dog standing near snow looking at water.,A dog standing near water is catching a bone in its mouth.,Animal is outdoors.
A dog standing near snow looking at water.,A dog standing near snow at water.,Animal is outdoors.
A dog standing near snow looking at water.,A dog standing near snow EMPTY.,The dog is thinking about going to for a swim.
A dog standing near snow looking at water.,A dog standing near snow while a man watches.,The dog is thinking about going to for a swim.
A dog standing near snow looking at water.,A dog standing near snow is not in the water..,The dog is thinking about going to for a swim.
An older man leans against a pedestal outside of an ornate building.,An older woman leans against a pedestal outside of an ornate building.,An older man is leaning outside his nursing home
An older man leans against a pedestal outside of an ornate building.,A man leans against a statue outside of a museum.,An older man is leaning outside his nursing home
An older man leans against a pedestal outside of an ornate building.,A older man leans against a statue outside.,An older man is leaning outside his nursing home
An older man leans against a pedestal outside of an ornate building.,An older man leans against a pedestal outside of an ornate room.,A young man is jogging
An older man leans against a pedestal outside of an ornate building.,An older man leans against a statue outside of a museum.,A young man is jogging
An older man leans against a pedestal outside of an ornate building.,A older man leans against a statue outside.,A young man is jogging
An older man leans against a pedestal outside of an ornate building.,Young older man leans against a pedestal outside of an ornate building.,An older man leans outside a building
An older man leans against a pedestal outside of an ornate building.,An older man leans against a sleeping man outside of an ornate building.,An older man leans outside a building
An older man leans against a pedestal outside of an ornate building.,A man leans against a statue outside of a museum.,An older man leans outside a building
A person in orange clothing rests above a metro entrance.,A woman in orange clothing rests above a metro entrance.,A person is sitting at a baseball game.
A person in orange clothing rests above a metro entrance.,A person in orange clothing does not ride a skateboard.,A person is sitting at a baseball game.
A person in orange clothing rests above a metro entrance.,A person in red clothing rests near a railway station.,A person is sitting at a baseball game.
A person in orange clothing rests above a metro entrance.,A person in orange clothing does not ride a skateboard.,Someone is standing near a metro station.
A person in orange clothing rests above a metro entrance.,A person in red clothing rests near a train station.,Someone is standing near a metro station.
A person in orange clothing rests above a metro entrance.,A person in orange clothing rests above metro entrance.,Someone is standing near a metro station.
A person in orange clothing rests above a metro entrance.,A person in blue clothing rests near a train.,A person is waiting for a train.
A person in orange clothing rests above a metro entrance.,A person in orange clothing rests near a train.,A person is waiting for a train.
A person in orange clothing rests above a metro entrance.,A person in orange clothing does not ride a bike.,A person is waiting for a train.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress takes a drink.,The girl is eating blue cotton candy at a carnival.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress takes her first steps across a busy street.,The girl is eating blue cotton candy at a carnival.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress plays on a swing set while two kids hold on to a swing set.,The girl is eating blue cotton candy at a carnival.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a red dress takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress takes off her sandals while walking.,The girl in a blue dress is a flower girl at a wedding.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,Girl takes off her shoes and eats blue cotton candy.,The girl in a blue dress is a flower girl at a wedding.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress takes off her sandals and stands in front of a huge crowd of zombies.,The girl is eating while barefoot.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress takes off her sandals while walking.,The girl is eating while barefoot.
A girl in a blue dress takes off her shoes and eats blue cotton candy.,A girl in a blue dress takes off her shoes.,The girl is eating while barefoot.
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man with a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is asian
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man in a white white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is asian
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man in no white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is asian
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man in a white uniform is doing a skateboarding jump with a crowd watching behind him.,the man is playing
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man in a white uniform is doing a skateboarding jump.,the man is playing
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man in a white uniform is doing a skateboard trick for a crowd of people.,the man is playing
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,One black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is at home sleeping
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,Two black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,the man is at home sleeping
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.,A black man in a white uniform is doing a skateboarding jump with a crowd watching behind him.,the man is at home sleeping
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A basketball player with red and blue shorts is getting ready to kick the soccer ball near the goal.,A man is making a sandwich while a crowd gasps in awe.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A basketball player with red and blue shorts is getting ready to shoot the shot put.,A man is making a sandwich while a crowd gasps in awe.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A basketball player with green shoes is dunking the shot in the net while the arena crowd looks on.,A man is making a sandwich while a crowd gasps in awe.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,"A basketball player with no shoes is getting ready to shoot the ball in the net, while the arena crowd watches.",A crowd is watching someone play basketball.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A basketball player with red shoes is getting ready to kick the soccer ball in the goal while the onlookers watch.,A crowd is watching someone play basketball.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A basketball player with green team shoes is dunking the ball in the net while the arena crowd looks on.,A crowd is watching someone play basketball.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,No one is dunking the ball in the net while the arena crowd looks on.,A famous NBA player is playing street ball in front of a crowd.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,A basketball player with red and blue shorts is getting ready to shoot the shot put.,A famous NBA player is playing street ball in front of a crowd.
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.,No basketball player is dunking the ball in the net while the arena crowd looks on.,A famous NBA player is playing street ball in front of a crowd.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A smiling old man in a military cap and a civilian outfit stand in front of a crowd of people.,A group of people are standing outside.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A frowning black man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A group of people are standing outside.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A frowning old man in a military cap and a civilian shirt stand in front of a crowd of people and wait for the bus to stop.,A group of people are standing outside.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A frowning old man in a military cap and a civilian shirt stand in front of a crowd of people and wait for the bus to stop.,An angry military veteran watches as people protest the war.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A frowning old man in a military cap and a civilian suit is standing amongst a group of people.,An angry military veteran watches as people protest the war.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying nothing on them.,An angry military veteran watches as people protest the war.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A smiling old man in a military cap and a civilian suit standing amongst a group of people outdoors.,A man is watching a group of people having a hot dog eating contest.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A smiling old man in a military cap and a civilian suit standing amongst a group of people.,A man is watching a group of people having a hot dog eating contest.
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.,A smiling old man in a military cap and a civilian suit standing amongst a crowd of people.,A man is watching a group of people having a hot dog eating contest.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing a black tank top is biking and carrying a balanced load.,A woman on a bike.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing a black tank top and black pants is riding a bike and carrying a purse.,A woman on a bike.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing a black tank top is riding a bike and carrying a purse.,A woman on a bike.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing biking shorts and a white shirt is riding a bike and carrying a purse.,A woman riding a bike to work.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing bike shorts and a skirt is riding a bike.,A woman riding a bike to work.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing a black tank top is biking and carrying a balanced load.,A woman riding a bike to work.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing bike shorts and white skirt is riding a bike and carrying a shoulder bag.,A woman driving a car.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing bike shorts and no skirt is riding a bike and carrying a shoulder bag.,A woman driving a car.
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.,A woman wearing biking shorts and a white shirt is riding a bike and carrying a purse.,A woman driving a car.
A skateboarding youth does a trick on a rail.,Young skateboarding youth does a trick on a rail.,A young person on a skateboard.
A skateboarding youth does a trick on a rail.,A skateboarding youth performs a trick on a rail.,A young person on a skateboard.
A skateboarding youth does a trick on a rail.,Male skateboarding youth does a trick on a rail.,A young person on a skateboard.
A skateboarding youth does a trick on a rail.,A skateboarding kid does a trick on a rail.,A man painting a tree.
A skateboarding youth does a trick on a rail.,A boy skateboarding youth does a trick on a rail.,A man painting a tree.
A skateboarding youth does a trick on a rail.,A skateboarding person does a trick on a rail.,A man painting a tree.
A skateboarding youth does a trick on a rail.,A skateboarder does a trick on a cracked concrete ramp.,A young boy showing his new skateboard tricks to his friends.
A skateboarding youth does a trick on a rail.,A child skateboarding youth does a trick on a rail.,A young boy showing his new skateboard tricks to his friends.
A skateboarding youth does a trick on a rail.,A skateboarding youth does a trick on rail.,A young boy showing his new skateboard tricks to his friends.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in the tunnel.,He is wearing a button-up shirt.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in the wall behind him.,He is wearing a button-up shirt.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in his front.,He is wearing a button-up shirt.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is working on a roof.,His bald head is exposed.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and wearing a hat is crouching on a handrail with a concrete embankment located in front of him.,His bald head is exposed.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and carrying a hat is crouching on a handrail with a concrete embankment located in front of him.,His bald head is exposed.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is crouching on a handrail with a concrete block located in front of him.,A man is crouching on a handrail.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is crouching on a handrail with a concrete rail located in front of him.,A man is crouching on a handrail.
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.,A guy wearing jeans and a hat is crouching on a handrail with a concrete rail runner located in front of him.,A man is crouching on a handrail.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","Girl in a red coat, blue head wrap and jeans is making a pie .",A girl in a red coat makes a snow angel for the first time.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","Woman in a red coat, blue head wrap and jeans is making a pie .",A girl in a red coat makes a snow angel for the first time.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","Girl in a blue red coat, blue head wrap and jeans is making a snow angel.",A girl in a red coat makes a snow angel for the first time.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","Girl in short red coat, blue head wrap and jeans is making a snow angel.",Girl in a black coat stays indoors away from the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","A girl in a red coat, blue head wrap and jeans is making pie.",Girl in a black coat stays indoors away from the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","A girl in a red dress, blue head wrap and jeans is making a pie.",Girl in a black coat stays indoors away from the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","A girl in a red coat, blue head wrap and jeans is making pie.",A girl outside plays in the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","A girl in a red coat, blue head wrap and jeans.",A girl outside plays in the snow.
"Girl in a red coat, blue head wrap and jeans is making a snow angel.","Girl in a red coat, blue head wrap and jeans is making a pie angel.",A girl outside plays in the snow.
A group of people gathered at night watching an event.,no group of people gathered at night watching an event.,The group of friends are asleep.
A group of people gathered at night watching an event.,A group of people gathered on a sidewalk watching a parade.,The group of friends are asleep.
A group of people gathered at night watching an event.,A group of people gathered at night do not want to go to a concert.,The group of friends are asleep.
A group of people gathered at night watching an event.,A group of people gathered at night do not want to go to the party.,A group of humans are looking at the same direction.
A group of people gathered at night watching an event.,Four group of people gathered at night watching an event.,A group of humans are looking at the same direction.
A group of people gathered at night watching an event.,No group of people gathered at night watching an event.,A group of humans are looking at the same direction.
A group of people gathered at night watching an event.,A group of people gathered on a sidewalk in front of a store to pay for their groceries.,A group of friends are watching the music concert at night.
A group of people gathered at night watching an event.,A group of people gathered on the street watching a parade.,A group of friends are watching the music concert at night.
A group of people gathered at night watching an event.,A group of people gathered at night.,A group of friends are watching the music concert at night.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in the red shirt catches the ball whilst under pressure from the payer in white.,The football player is under duress.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow is in the middle of a football field.,The football player is under duress.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American Football League is an American football team in the National Football League and the official sponsor of the game.,The football player is under duress.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow is the ball whilst under pressure from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,American football player in red runs the football while under pressure from the back.,The American football player in yellow catches the ball while under pressure from the player in white.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow catches the ball whilst under pressure from from the payer in white.,The American football player in yellow catches the ball while under pressure from the player in white.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow catches the ball whilst under great stress from the payer in white.,The basketball player shoots a three pointer.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow catches the ball whilst under great pressure from the payer in white.,The basketball player shoots a three pointer.
The American footballer in yellow catches the ball whilst under pressure from the payer in white.,The American footballer in yellow catches the ball whilst under the influence from the payer in white.,The basketball player shoots a three pointer.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and a hat hood on stands outdoors in a crowd.",A person is enjoying a sporting event.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and no protective eyewear stands outdoors in a crowd.",A person is enjoying a sporting event.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and a hood on stands in front of a construction site in a crowd.",A person is enjoying a sporting event.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and a dress with a hood on stands outdoors in a crowd.",A person is dancing and singing.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and a hat using a screwdriver.",A person is dancing and singing.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and a hat with a cap on bends over to pick up his crying daughter.",A person is dancing and singing.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person wearing blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is standing outdoors.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person without blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is standing outdoors.
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.","A person with blue hair, a baseball cap, and a hood on stands outdoors in a city.",A person is standing outdoors.
A girl holding a beverage points at a painting.,A girl holding a beverage doesn't work.,The girl is in the bathtub
A girl holding a beverage points at a painting.,A girl holding a bottle points at something,The girl is in the bathtub
A girl holding a beverage points at a painting.,A girl holding a beverage points at painting.,The girl is in the bathtub
A girl holding a beverage points at a painting.,A girl holding a beverage points at a red painting.,The girl is drinking an alcoholic beverage.
A girl holding a beverage points at a painting.,A girl holding a beer closes her eyes to smile.,The girl is drinking an alcoholic beverage.
A girl holding a beverage points at a painting.,A girl holding a bottle points at something,The girl is drinking an alcoholic beverage.
A girl holding a beverage points at a painting.,A girl holds a sign for lemonade.,The girl has a beverage.
A girl holding a beverage points at a painting.,A girl holding a bottle points at something,The girl has a beverage.
A girl holding a beverage points at a painting.,A girl holding a beverage points at something.,The girl has a beverage.
